GEOID,place,freezing_days_change,freezing_days_1956,freezing_days_2025,freezing_first_change,freezing_first_1956,freezing_first_2025,freezing_last_change,freezing_last_1956,freezing_last_2025,coldest_min_change,coldest_min_1956,coldest_min_2025,season_length_change,season_length_1956,season_length_2025,freezing_longest_streak_change,freezing_longest_streak_1956,freezing_longest_streak_2025
0107000,"Birmingham, Alabama",-26,70,44,11,34,45,-24,189,164,9.1,7.4,16.4,-35,155,120,-6,15,8
0137000,"Huntsville, Alabama",-31,80,49,13,27,40,-24,192,168,11.7,3,14.7,-36,165,129,-8,17,9
0150000,"Mobile, Alabama",-13,25,11,20,53,73,-16,151,134,6.5,17.8,24.3,-36,97,61,-1,5,4
0151000,"Montgomery, Alabama",-17,49,33,10,40,51,-13,170,157,7.4,12.1,19.5,-24,130,106,-4,10,7
0177256,"Tuscaloosa, Alabama",-16,56,40,12,37,49,-10,173,163,7.1,10.5,17.7,-22,136,114,-4,12,8
0412000,"Chandler, Arizona",-10,14,4,22,65,87,-24,130,106,4.1,25.2,29.3,-46,65,20,-4,6,3
0427820,"Glendale, Arizona",-6,7,1,5,81,87,-18,119,101,3.4,27.7,31.1,-24,38,14,-3,4,1
0446000,"Mesa, Arizona",-9,12,2,25,66,91,-24,126,102,3.9,26,29.9,-49,61,12,-4,6,2
0454050,"Peoria, Arizona",-5,7,2,10,79,89,-23,124,100,3,27.8,30.8,-33,44,11,-3,5,2
0455000,"Phoenix, Arizona",-6,7,1,11,81,93,-23,122,99,3.2,27.9,31.1,-34,40,6,-3,4,2
0465000,"Scottsdale, Arizona",-3,3,0,-8,99,91,-18,120,102,3.4,29.3,32.7,-10,21,11,-2,3,2
0471510,"Surprise, Arizona",-7,9,3,11,75,86,-25,124,99,3.5,26.5,30,-36,50,14,-3,5,2
0473000,"Tempe, Arizona",-8,11,3,19,69,88,-23,125,102,3.7,26.2,29.9,-42,57,14,-3,6,2
0477000,"Tucson, Arizona",-6,16,11,19,56,76,-22,142,120,3.5,23.4,26.9,-41,86,44,-1,5,4
0541000,"Little Rock, Arkansas",-18,66,49,11,37,48,-10,174,164,4.2,9.8,14,-21,136,116,-7,18,11
0602252,"Antioch, California",-9,11,2,9,75,83,-17,117,99,3.7,27,30.8,-26,42,16,-2,5,3
0603526,"Bakersfield, California",-13,15,2,10,71,81,-34,123,88,5.6,25.7,31.3,-44,52,8,-3,6,3
0613014,"Chico, California",-11,19,7,30,56,86,-7,130,122,3.1,25.5,28.6,-37,73,36,-4,8,4
0614218,"Clovis, California",-18,21,3,31,54,86,-35,132,97,5.9,25,30.9,-67,78,12,-4,7,4
0616000,"Concord, California",-12,13,1,25,68,93,-20,122,101,4.6,26.4,31,-46,54,8,-3,6,2
0622020,"Elk Grove, California",-6,13,6,3,73,76,-5,115,110,1.5,27.4,28.9,-8,42,34,-2,6,4
0622804,"Escondido, California",-4,4,0,19,82,101,-2,107,105,2.8,29.5,32.4,-21,25,4,-1,3,2
0623182,"Fairfield, California",-13,15,2,19,68,87,-19,120,101,4.4,26.3,30.7,-39,53,14,-3,6,3
0624680,"Fontana, California",-3,4,0,14,81,95,-18,113,95,4.3,29.2,33.5,-32,32,-0,-0,2,2
0626000,"Fremont, California",-10,10,-0,7,77,84,-37,124,87,5.4,27.3,32.7,-44,47,3,-3,5,2
0627000,"Fresno, California",-16,21,5,37,52,89,-19,128,109,5.3,25.1,30.5,-56,76,20,-4,8,4
0633000,"Hayward, California",-9,9,0,6,78,84,-35,124,90,4.7,27.7,32.4,-41,46,5,-2,4,2
0637692,"Jurupa Valley, California",-3,3,0,8,85,92,-26,114,88,4,29.8,33.9,-34,29,-5,-0,2,2
0640130,"Lancaster, California",-24,56,33,10,46,57,-16,171,155,5.1,18.3,23.4,-27,125,98,-4,15,11
0646842,"Menifee, California",-10,12,2,34,66,100,-7,126,118,4.7,26.1,30.8,-41,60,19,-2,5,2
0648354,"Modesto, California",-10,16,6,23,63,86,-14,124,109,3.3,26.1,29.5,-37,61,24,-4,8,3
0649270,"Moreno Valley, California",-5,6,1,29,73,102,-18,121,103,4.4,27.8,32.2,-46,48,2,-1,3,2
0650076,"Murrieta, California",-8,8,0,29,73,102,-16,121,105,4.6,27.6,32.2,-45,48,3,-2,4,2
0653896,"Ontario, California",-3,3,0,9,83,92,-22,114,92,4,29.7,33.7,-32,31,-0,0,2,2
0655156,"Palmdale, California",-28,54,25,10,46,57,-17,171,154,5.7,18.7,24.3,-27,124,97,-8,15,7
0659451,"Rancho Cucamonga, California",-3,4,0,29,81,109,-8,116,109,4.2,29.4,33.6,-37,36,-1,-1,3,2
0660466,"Rialto, California",-4,4,0,13,82,94,-30,117,88,4.5,29,33.5,-42,35,-7,0,2,2
0662000,"Riverside, California",-3,3,0,7,88,95,-26,116,90,3.8,29.8,33.6,-33,28,-5,0,2,3
