place,GEOID,water_year,freezing_days,freezing_first,freezing_last,coldest_min,season_length,freezing_longest_streak
"Birmingham, Alabama",0107000,1956,77,20,204,16.29,184,9
"Birmingham, Alabama",0107000,1957,49,40,197,14.79,157,13
"Birmingham, Alabama",0107000,1958,74,27,190,3.65,163,16
"Birmingham, Alabama",0107000,1959,65,39,196,10.48,157,18
"Birmingham, Alabama",0107000,1960,78,38,194,12.72,156,11
"Birmingham, Alabama",0107000,1961,66,35,189,8.73,154,15
"Birmingham, Alabama",0107000,1962,54,27,198,0.7,171,11
"Birmingham, Alabama",0107000,1963,79,25,174,-1.51,149,17
"Birmingham, Alabama",0107000,1964,87,30,193,8.73,163,21
"Birmingham, Alabama",0107000,1965,56,20,173,8.87,153,10
"Birmingham, Alabama",0107000,1966,70,25,188,-5.29,163,22
"Birmingham, Alabama",0107000,1967,59,33,170,11.96,137,7
"Birmingham, Alabama",0107000,1968,82,35,178,13.09,143,23
"Birmingham, Alabama",0107000,1969,83,26,179,11.95,153,12
"Birmingham, Alabama",0107000,1970,81,35,178,2.41,143,14
"Birmingham, Alabama",0107000,1971,74,34,190,9.87,156,9
"Birmingham, Alabama",0107000,1972,42,36,185,7.04,149,5
"Birmingham, Alabama",0107000,1973,53,49,194,14.18,145,11
"Birmingham, Alabama",0107000,1974,40,41,173,15.91,132,7
"Birmingham, Alabama",0107000,1975,51,44,186,16.64,142,11
"Birmingham, Alabama",0107000,1976,56,45,147,10.36,102,10
"Birmingham, Alabama",0107000,1977,85,29,174,2.3,145,14
"Birmingham, Alabama",0107000,1978,76,42,179,13.76,137,19
"Birmingham, Alabama",0107000,1979,62,66,178,11.03,112,13
"Birmingham, Alabama",0107000,1980,58,35,167,11.99,132,17
"Birmingham, Alabama",0107000,1981,73,50,171,11.57,121,27
"Birmingham, Alabama",0107000,1982,51,46,189,-0.89,143,12
"Birmingham, Alabama",0107000,1983,54,36,203,20.34,167,10
"Birmingham, Alabama",0107000,1984,64,43,164,1.74,121,14
"Birmingham, Alabama",0107000,1985,58,44,170,-5.18,126,19
"Birmingham, Alabama",0107000,1986,58,64,174,9.89,110,12
"Birmingham, Alabama",0107000,1987,53,45,187,14.51,142,11
"Birmingham, Alabama",0107000,1988,64,22,169,13.34,147,14
"Birmingham, Alabama",0107000,1989,44,60,194,17.21,134,9
"Birmingham, Alabama",0107000,1990,45,20,190,1.64,170,10
"Birmingham, Alabama",0107000,1991,37,50,162,14.34,112,8
"Birmingham, Alabama",0107000,1992,63,35,187,16.69,152,11
"Birmingham, Alabama",0107000,1993,50,38,185,13.96,147,13
"Birmingham, Alabama",0107000,1994,60,32,169,8.61,137,10
"Birmingham, Alabama",0107000,1995,48,55,162,14.86,107,7
"Birmingham, Alabama",0107000,1996,81,35,194,5.45,159,11
"Birmingham, Alabama",0107000,1997,44,34,167,13.73,133,6
"Birmingham, Alabama",0107000,1998,42,47,173,20.95,126,7
"Birmingham, Alabama",0107000,1999,34,37,178,12.14,141,5
"Birmingham, Alabama",0107000,2000,54,25,193,19.6,168,10
"Birmingham, Alabama",0107000,2001,67,46,179,12.9,133,14
"Birmingham, Alabama",0107000,2002,52,28,174,16.12,146,8
"Birmingham, Alabama",0107000,2003,59,49,182,8.92,133,10
"Birmingham, Alabama",0107000,2004,53,45,163,17.67,118,7
